old_url,old_title,old_http,old_text_chars,old_images,old_tables,old_table_rows,old_iframes,old_links,new_url,new_http,new_text_chars,new_images,new_tables,new_table_rows,status,match_confidence,text_delta_pct,evidence_screenshot,notes
https://www.rdca.com/,Home | Rdca,200,858,112,0,0,1,128,https://rdca-sportsweb-version2.vercel.app/index.html,200,10134,61,1,9,CHANGED,high,1081,www_rdca_com_.png,"Full redesign. Old home is a thin visual splash (858 chars); new is a richer 10,134-char landing page. Not a content regression, but nothing is a like-for-like carry-over."
https://www.rdca.com/about-umpires,About Umpires | Rdca,200,4482,54,0,0,0,104,https://rdca-sportsweb-version2.vercel.app/about-umpires.html,200,3082,21,0,0,PARTIAL,high,-31,www_rdca_com_about_umpires.png,"4,482 -> 3,082 chars. ~31% of body text not carried across."
https://www.rdca.com/about-veterans,About Veterans | Rdca,200,824,55,0,0,0,106,https://rdca-sportsweb-version2.vercel.app/veterans.html,200,3202,24,0,0,COMPLETE,medium,289,www_rdca_com_about_veterans.png,"824 -> 3,202 chars; new page is a superset. Verify tone/wording with client."
https://www.rdca.com/appointments,Appointments | Rdca,200,632,54,0,0,1,104,https://rdca-sportsweb-version2.vercel.app/umpire-appointments.html,200,2360,21,0,0,PARTIAL,high,273,www_rdca_com_appointments.png,Old page is a OneDrive Excel embed (1drv.ms) carrying the live appointments. New page renders MOCK data and the spreadsheet is not migrated or linked.
https://www.rdca.com/awards,Awards | Rdca,200,619,54,0,0,1,104,https://rdca-sportsweb-version2.vercel.app/awards.html,200,2648,21,0,0,PARTIAL,high,328,www_rdca_com_awards.png,"Old page embeds honours.rdca.com?ID=awards, the root of 117 award sub-pages. New /awards.html has 0 tables and no award records."
https://www.rdca.com/become-an-umpire,Become an Umpire | Rdca,200,2394,54,0,0,0,110,https://rdca-sportsweb-version2.vercel.app/become-an-umpire.html,200,2621,21,0,0,COMPLETE,high,9,www_rdca_com_become_an_umpire.png,"2,394 -> 2,621 chars. Content present."
https://www.rdca.com/blog,News | Rdca,200,1306,57,0,0,0,108,https://rdca-sportsweb-version2.vercel.app/news.html,200,2622,22,0,0,PARTIAL,high,101,www_rdca_com_blog.png,13 old posts vs 3 news + 6 archive + 4 article records on the new site; the 13 originals are not reproduced.
https://www.rdca.com/calendar-of-events,Calendar of Events | Rdca,200,631,54,0,0,2,104,https://rdca-sportsweb-version2.vercel.app/events.html,200,1742,21,0,0,PARTIAL,high,176,www_rdca_com_calendar_of_events.png,Old page embeds eventscalendar.co + POWR countdown plugins. New /events.html has 3 static events; the live calendar is not migrated.
https://www.rdca.com/child-safety,Child Safety | Rdca,200,1578,54,0,0,0,115,https://rdca-sportsweb-version2.vercel.app/child-safety.html,200,2552,21,0,0,COMPLETE,high,62,www_rdca_com_child_safety.png,"1,578 -> 2,552 chars. Superset."
https://www.rdca.com/copy-2-of-rep-team-girls,Rep Team U17 Girls | Rdca,200,1326,54,0,0,0,104,https://rdca-sportsweb-version2.vercel.app/placeholder.html,200,1479,21,0,0,MISSING,high,12,www_rdca_com_copy_2_of_rep_team_girls.png,U17 Girls rep line-up. New site renders placeholder.html with src pointing BACK at this old URL.
https://www.rdca.com/copy-of-contacts-1,Umpires | Rdca,200,1374,55,0,0,6,105,https://rdca-sportsweb-version2.vercel.app/umpires.html,200,1681,21,0,0,PARTIAL,high,22,www_rdca_com_copy_of_contacts_1.png,Old Umpires page carries 6 YouTube instructional videos; none appear on the new site.
https://www.rdca.com/copy-of-documents,Womens Documents | Rdca,200,1240,76,0,0,0,147,https://rdca-sportsweb-version2.vercel.app/documents.html,200,1863,21,0,0,PARTIAL,medium,50,www_rdca_com_copy_of_documents.png,Women's Documents (22 doc links). No dedicated women's documents route on the new site.
https://www.rdca.com/copy-of-info,Policies | Rdca,200,802,55,0,0,0,112,https://rdca-sportsweb-version2.vercel.app/documents.html,200,1863,21,0,0,PARTIAL,medium,132,www_rdca_com_copy_of_info.png,Policies index. Folded into /documents.html; several policies have no destination.
https://www.rdca.com/copy-of-life-members,Copy of Life Members OLD | Rdca,200,625,54,0,0,1,104,https://rdca-sportsweb-version2.vercel.app/honours.html,200,2433,21,1,12,OBSOLETE-CANDIDATE,high,289,www_rdca_com_copy_of_life_members.png,Title is literally 'Copy of Life Members OLD'. Embeds honours.rdca.com?ID=lifemember which returns an EMPTY 316-byte page. Recommend retire; confirm with client.
